Step,Susceptible,Infected,Removed,R0,Viral Load Tree,Incidence,Recovery,Days,Incidence Sum,Incidence Days
856,9535,422,43,5,"{(9292, 1125): (260.98, 302.27, 30327.935522686388, 855, 61), (3671, 4170): (248.04, 195.25, 19294.241237823746, 855, 72), (5224, 8615): (93.63, 139.04, 13606.665606791226, 855, 80), (2618, 6763): (82.94, 245.52, 24506.49032689468, 855, 66), (976, 4742): (188.33, 132.03, 13388.959299931235, 855, 81)}",5.0,2.0,28.533333333333335,5.0,0
857,9531,426,43,5,"{(9264, 2469): (247.12, 226.45, 22599.373813054168, 856, 68), (1712, 2434): (114.49, 104.38, 10472.945421036948, 856, 87), (6933, 3668): (271.11, 298.09, 29697.008324320184, 856, 62), (2929, 8382): (270.58, 79.11, 7839.431138457139, 856, 94)}",4.0,0.0,28.566666666666666,4.0,0
858,9529,428,43,5,"{(776, 2019): (99.23, 104.55, 10442.498115038237, 857, 87), (8414, 1567): (277.05, 275.12, 27411.00136507837, 857, 64)}",2.0,0.0,28.6,2.0,0
859,9528,429,43,5,"{(9889, 4676): (67.65, 78.47, 7817.045997294316, 858, 94)}",1.0,0.0,28.633333333333333,1.0,0
860,9527,430,43,5,"{(9562, 1389): (273.61, 312.7, 30986.933716423973, 859, 61)}",1.0,0.0,28.666666666666668,1.0,0
861,9524,433,43,5,"{(518, 2890): (58.4, 67.51, 6812.056805743094, 860, 98), (2929, 8528): (270.58, 93.51, 9099.140726532301, 860, 90), (9493, 3428): (299.93, 203.56, 20526.385588845384, 860, 71)}",3.0,0.0,28.7,3.0,0
862,9519,438,43,5,"{(3730, 9569): (234.3, 109.42, 11044.65389285651, 861, 86), (9292, 3354): (260.98, 305.57, 30922.354278556864, 861, 61), (7775, 8885): (188.76, 196.92, 19861.020448169365, 861, 72), (6687, 7270): (91.97, 99.6, 9870.556451242848, 861, 88), (9889, 2270): (67.65, 72.21, 6987.731679458504, 861, 96)}",5.0,0.0,28.733333333333334,5.0,0
863,9519,438,43,5,{},-0.0,0.0,28.766666666666666,-0.0,0
864,9517,439,44,5,"{(4884, 9096): (103.64, 276.11, 27451.67377912644, 863, 64), (4322, 8363): (87.74, 128.61, 12915.702724910496, 863, 82)}",2.0,1.0,28.8,2.0,0
865,9513,443,44,5,"{(4919, 6161): (53.18, 129.61, 12841.428229683186, 864, 82), (9507, 5215): (202.97, 265.92, 26770.87833923861, 864, 64), (1173, 5714): (184.14, 143.22, 14178.608419838649, 864, 79), (8427, 3870): (80.62, 194.21, 19552.716593372228, 864, 72)}",4.0,0.0,28.833333333333332,4.0,0
866,9510,445,45,5,"{(6687, 9910): (91.97, 111.91, 11208.988037315723, 865, 85), (9882, 7101): (248.88, 262.77, 26244.423422490203, 865, 65), (114, 7633): (186.84, 238.66, 23977.64427295288, 865, 67)}",3.0,1.0,28.866666666666667,3.0,0
867,9506,449,45,5,"{(864, 4323): (301.1, 178.1, 17992.3079913869, 866, 74), (382, 1645): (262.74, 55.05, 5470.061512773112, 866, 103), (39, 304): (180.9, 227.61, 22788.793979993094, 866, 68), (9021, 7510): (306.59, 278.37, 27938.804123543054, 866, 63)}",4.0,0.0,28.9,4.0,0
868,9502,453,45,5,"{(4997, 8864): (153.1, 194.65, 19174.77883107676, 867, 72), (26, 5122): (95.69, 116.02, 11588.587983751107, 867, 84), (2996, 5226): (193.94, 225.38, 22636.765251960307, 867, 68), (1712, 3534): (114.49, 147.72, 14644.828262314564, 867, 79)}",4.0,0.0,28.933333333333334,4.0,0
869,9499,456,45,5,"{(4034, 5140): (265.46, 118.37, 11870.645235285003, 868, 84), (7980, 8780): (168.11, 171.81, 17108.14524199164, 868, 75), (8461, 9169): (308.84, 149.98, 14977.842785969659, 868, 78)}",3.0,0.0,28.966666666666665,3.0,0
870,9495,460,45,5,"{(8015, 644): (51.63, 191.27, 19170.126643398875, 869, 72), (3730, 4564): (234.3, 80.41, 8039.027516664822, 869, 94), (7090, 935): (264.76, 128.39, 12832.277042616917, 869, 82), (5216, 9277): (170.29, 236.25, 23443.943472705574, 869, 67)}",4.0,0.0,29.0,4.0,0
